	KILR	INTR	RECE	INSH5	RECT	RACR	RZPR	Q9RPJ4	RACC
GCA_001900735.1_ASM190073v1	0	0	1	0	0	0	1	0	0
GCA_002855415.1_ASM285541v1	0	1	1	0	0	1	1	1	0
GCA_002209105.2_ASM220910v2	1	1	1	1	0	0	1	0	0
GCA_001663075.1_ASM166307v1	1	1	1	1	1	1	1	0	1
GCA_000520035.1_ASM52003v1	0	1	1	0	0	0	1	0	1
GCA_003112245.1_ASM311224v1	1	1	1	0	1	0	1	0	1
GCA_000493755.1_ASM49375v1	0	1	1	0	0	0	1	0	0
GCA_002796585.1_ASM279658v1	1	1	1	0	0	0	1	0	0
GCA_001721525.1_ASM172152v1	0	1	1	1	0	0	1	0	0
GCA_002860105.1_ASM286010v1	0	0	1	1	0	0	0	0	0
GCA_001039415.1_ASM103941v1	1	1	0	0	1	0	1	0	1
GCA_001900495.1_ASM190049v1	1	1	1	0	1	0	1	0	1
GCA_002952695.1_ASM295269v1	0	1	1	0	0	1	1	0	0
GCA_002012145.1_ASM201214v1	0	1	0	0	0	0	1	0	0
GCA_000830035.1_ASM83003v1	1	1	0	0	1	0	1	0	1
GCA_000227625.1_ASM22762v1	0	1	0	1	1	0	1	0	0
GCA_000833635.2_ASM83363v2	1	1	1	1	1	1	1	0	1
GCA_000091005.1_ASM9100v1	1	1	1	0	1	0	1	0	1
GCA_000262125.1_ASM26212v1	0	1	1	0	0	1	1	0	0
GCA_002214205.1_ASM221420v1	1	1	1	0	1	0	0	0	1
GCA_002057245.1_ASM205724v1	1	1	1	0	0	1	1	0	1
GCA_003112205.1_ASM311220v1	0	1	1	0	0	0	1	0	0
GCA_002859105.1_ASM285910v1	0	1	0	1	0	0	1	0	0
GCA_000988425.1_ASM98842v1	1	1	1	1	1	1	1	0	1
GCA_003111785.1_ASM311178v1	0	0	0	1	0	0	0	1	0
GCA_002763995.1_ASM276399v1	0	1	1	0	0	0	1	0	0
GCA_000988355.1_ASM98835v1	1	1	1	1	1	1	1	0	1
GCA_002860085.1_ASM286008v1	0	1	1	1	0	0	0	0	0
